year,rank,artist,gross
2000,1,Tina Turner,80.2
2000,2,'N Sync,76.4
2000,3,Dave Matthews Band,68.2
2000,4,Kiss,62.7
2000,5,Tim McGraw/Faith Hill,48.8
2000,6,Dixie Chicks,47.3
2000,7,Bruce Springsteen & the E Street Band,45.9
2000,8,"Crosby, Stills, Nash & Young",42.1
2000,9,Metallica,42
2000,10,Britney Spears,40.5
2001,1,U2,109.7
2001,2,Nsync,86.8
2001,3,Backstreet Boys ,82.1
2001,4,Dave Matthews Band,60.5
2001,5,Elton John/Billy Joel,57.2
2001,6,Madonna,54.7
2001,7,Aerosmith,49.3
2001,8,Janet Jackson,42.1
2001,9,Eric Clapton,38.8
2001,10,Neil Diamond,35.4
2003,1,Bruce Springsteen & the E Street Band,115.9
2003,2,Celine Dion,80.5
2003,3,Eagles,69.3
2003,4,Fleetwood Mac,69
2003,5,Cher,68.2
2003,6,Simon & Garfunkel,64.5
2003,7,Aerosmith/KISS,64
2003,8,Dixie Chicks,60.5
2003,9,Billy Joel/Elton John,50.9
2003,10,“Summer Sanitarium Tour”/Metallica,48.8
2004,1,Prince,87.4
2004,2,Celine Dion,80.4
2004,3,Madonna,79.5
2004,4,Metallica,60.5
2004,5,Bette Midler,59.4
2004,6,Van Halen,54.3
2004,7,Kenny Chesney,50.8
2004,8,Sting,50.1
2004,9,Toby Keith,43.7
2004,10,Elton John,43.3
2005,1,The Rolling Stones,162
2005,2,U2,138.9
2005,3,Celine Dion,81.3
2005,4,Paul McCartney,77.3
2005,5,Eagles,76.8
2005,6,Elton John,65.8
2005,7,Kenny Chesney,61.8
2005,8,Dave Matthews Band,57
2005,9,Neil Diamond,47.3
2005,10,Jimmy Buffett,41
2007,1,The Police ,133.2
2007,2,Kenny Chesney ,71.1
2007,3,Justin Timberlake ,70.6
2007,4,Celine Dion ,65.3
2007,5,Van Halen ,56.7
2007,6,Tim McGraw / Faith Hill,52.3
2007,7,Rod Stewart ,49
2007,8,Genesis ,47.6
2007,9,Josh Groban ,43.1
2007,10,Rascal Flatts ,41.5
2008,1,Madonna ,105
2008,2,Celine Dion ,94
2008,3,The Eagles ,73.4
2008,4,Kenny Chesney ,72.2
2008,5,Bon Jovi ,70.4
