location,news,Source
"Philadelphia, PA","Hotel bookings in Philadelphia surged to their highest levels since the start of the pandemic, all thanks to Taylor Swift's concert dates. During the nights of Swift's tour, hotel occupancy increased by 11%, and the revenue per available room went up by an average of 59%.",https://www.nbcnews.com/business/consumer/taylor-swift-federal-reserve-credits-eras-tour-boosting-hotels-tourism-rcna94046; https://www.cnbc.com/2023/09/08/taylor-swift-is-single-handedly-giving-a-boost-to-hotel-industry-revenue.html
"Cincinnati, OH",Cincinnati officials attributed Taylor Swift's Eras Tour to downtown hotels making over $2.6 million and surrounding Hamilton County hotels earning more than $5.3 million.,https://www.nbcnews.com/business/consumer/taylor-swift-federal-reserve-credits-eras-tour-boosting-hotels-tourism-rcna94046
"Chicago, IL","Choose Chicago, the official tourism and marketing organization for Chicago, reported that the first weekend in June 2023 set new hotel occupancy records. This was due in part to events such as Taylor Swift's sold-out shows at Soldier Field.
During the week of June 4-10, the Chicago Transit Authority (CTA) provided 5.63 million rides, the highest number since the pandemic began in 2020. CTA specifically mentioned that Taylor Swift's sold-out concert at Soldier Field played a significant role in this increase. The three-night event resulted in more than 43,000 additional bus and rail rides, according to CTA.","https://www.nbcnews.com/business/consumer/taylor-swift-federal-reserve-credits-eras-tour-boosting-hotels-tourism-rcna94046  https://www.cnn.com/2023/06/22/business/taylor-swift-concerts-public-transit/index.html"
"Houston, TX",Taylor Swift's three-night performances at NRG Stadium led to the most profitable week for hotels in the city in 2023.,https://www.bizjournals.com/houston/news/2023/05/03/taylor-swift-eras-tour-houston-hotels.html
"Tampa Bay, Florida","Visit Tampa Bay projected that hotel occupancy in Tampa would increase by 60 to 80 percent during the weekend of Taylor Swift's performance. Additionally, Taylor Swift's previous two tours that included stops in Tampa generated $730,000 in tax revenue for the city.",https://www.forbes.com/sites/conormurray/2023/04/21/taylor-swifts-eras-tour-has-mayors-groveling-for-her-attention-heres-what-theyve-given-her-so-far/?sh=2703dd5c4fc1
"Toronto, Canada","Canadian Parliament members expressed their dissatisfaction with the Eras Tour not including Canada and filed a grievance with the Speaker of the House of Commons. Following this, Prime Minister Justin Trudeau extended an invitation to Taylor Swift to tour Canada. Just one month later, Swift announced six shows in Toronto.","https://www.thestar.com/politics/federal/2023/06/21/mp-files-official-grievance-with-speaker-over-taylor-swift-snubbing-canada-on-tour.html, https://en.wikipedia.org/wiki/Impact_of_the_Eras_Tour#cite_note-France_24_Trudeau-11"
"Glendale, Arizona","Glendale, Arizona renamed itself Swift City to honor Taylor Swift for kicking off the Eras Tour with two sold-out shows at State Farm Stadium on Friday and Saturday, March 17-18, 2023.",https://www.azcentral.com/story/entertainment/music/2023/03/13/glendale-az-name-change-taylor-swift-eras-tour/69995759007/
"Quezon City, Philippines","Media outlets had covered stories of significant crowds of fans assembling at different malls in the Philippines to witness performances imitating the Eras Tour by Taylor Sheesh, a Filipino drag queen and Taylor Swift impersonator.",https://www.rollingstone.com/music/music-news/taylor-swift-philippines-drag-show-eras-tour-1234740131/
"Jakarta, Indonesia","The Indonesian Minister of Tourism and Creative Economy, Sandiaga Uno, noticed that the Eras Tour didn't include Indonesia, even though it's the largest economy in Southeast Asia. As a result, he decided to simplify the permit process for international touring acts.",https://qz.com/taylor-swifts-snub-and-coldplays-skim-prompted-indonesi-1850698993
"Las Vegas, Nevada","The Las Vegas Convention and Visitors Authority acknowledged that the tour played a significant role in bringing the economy of Las Vegas back to the levels it had before the pandemic, effectively restoring it to its pre-pandemic state.",https://www.bloomberg.com/news/articles/2023-05-01/taylor-swift-helps-boost-las-vegas-tourism-to-pre-covid-levels
"Foxborough, Massachusetts","In the days leading up to the Eras Tour shows in nearby Foxborough, Massachusetts, all hotel rooms, restaurant reservations, and train tickets in Boston were completely booked, with no availability left.",https://www.bizjournals.com/boston/news/2023/05/17/taylor-swift-sells-out-boston.html?utm_source=sy&utm_medium=lsyp&utm_campaign=nbcboston&utm_content=nbcboston
"Santa Clara, California",Santa Clara experienced hotel occupancy rates of at least 98% in the weeks leading up to the tour's arrival in the city.,https://abc7news.com/taylor-swift-eras-tour-levis-stadium-concert-santa-clara/13530461/
"Los Angeles, California",The tour in Los Angeles generated a $320 million boost to the county's gross domestic product (GDP).,https://www.birmingham.ac.uk/news/2023/taylor-swifts-eras-tour-a-harmonious-overture-of-the-trickle-down-effect-on-local-economies
"Mexico City, Mexico","Taylor Swift's concerts in Mexico City generated an estimated revenue of Mex$1,000,000,000, which is equivalent to $59 million USD, across the city.",https://mexiconewsdaily.com/lifestyle/taylor-swift-cdmx-concerts-expected-to-generate-over-1b-pesos-in-revenue/
"Edinburgh, England","The presales for the Eras Tour had a positive impact on consumer spending in the UK in July 2023. For the June 2024 dates of the UK leg, hotels in Edinburgh, Liverpool, and Cardiff were fully booked and sold out by August 2023.",https://www.theguardian.com/travel/2023/aug/24/taylor-swifts-eras-tour-set-to-be-a-big-hit-for-travelodge-hotels
"Atlanta, Georgia","Almost 140,000 people filled Atlanta's Metropolitan Atlanta Rapid Transit Authority (MARTA) system to attend Taylor Swift's concerts at Mercedes-Benz Stadium over three nights. This number was more than three times the usual weekend ridership at stations near the stadium.",https://www.governing.com/transportation/taylor-swift-fans-give-public-transit-a-well-timed-boost
"East Rutherford, New Jersey","The rail and bus services provided during Taylor Swift's Era tour, especially for shows lasting over three hours, were highlighted as a recent success by NJ Transit officials. This achievement was part of a series of successful events, including the 2021 Army-Navy game, as well as concerts by Lady Gaga in 2019, Elton John in 2019, and Ed Sheeran in 2018.",https://www.nj.com/news/2023/05/nj-transit-moved-80k-to-taylor-swift-concerts-at-metlife-on-memorial-day-weekend.html
"Melbourne, Australia",Virgin Australia experienced a remarkable 656 percent surge in bookings to Melbourne and Sydney for Taylor Swift's concert dates following the Frontier pre-sale that took place on Wednesday.,https://www.news.com.au/travel/travel-advice/flights/taylor-swift-causes-huge-spike-in-flight-and-hotel-bookings-for-melbourne-and-sydney/news-story/97f45d23208f8c01d9b68c9e1e4e3b29
Singapore,"UOB bank credit card holders were granted preferred access to Taylor Swift's concert, leading to a 45 percent increase in daily credit card applications in Singapore, Thailand, Malaysia, Indonesia, and Vietnam during the week when Swift announced her concert dates, as reported by the media.",https://www.reuters.com/lifestyle/millions-vie-tickets-taylor-swifts-only-stop-southeast-asia-2023-07-07/
